section,line_item,amount,fund,fiscal_year
balance,BEGINNING BALANCE,116124682.0,General Fund,2008
revenue,Property Tax,230833886.0,General Fund,2008
revenue,Sales Tax,196242533.0,General Fund,2008
revenue,Other Tax,32327386.0,General Fund,2008
revenue,Licenses and Permits,5778367.0,General Fund,2008
revenue,CPS Energy,253962706.0,General Fund,2008
revenue,San Antonio Water System,9425230.0,General Fund,2008
revenue,Charges for Services,43908568.0,General Fund,2008
revenue,Fines & Forfeits,10956705.0,General Fund,2008
revenue,Miscellaneous,12068577.0,General Fund,2008
revenue,Subtotal Revenues,801567172.0,General Fund,2008
revenue,Transfers from other funds,25734568.0,General Fund,2008
revenue,TOTAL REVENUES,827301740.0,General Fund,2008
revenue,TOTAL AVAILABLE FUNDS,943426422.0,General Fund,2008
appropriation,Administrative & Operational Excellence,69711334.0,General Fund,2008
appropriation,"Convention, Tourism & Culture",609193.0,General Fund,2008
appropriation,Economic Development,16862886.0,General Fund,2008
appropriation,Environmental 0,901544.0,General Fund,2008
appropriation,Health & Human Services,77613926.0,General Fund,2008
appropriation,Neighborhood Services,10587574.0,General Fund,2008
appropriation,Parks & Recreation,46750338.0,General Fund,2008
appropriation,Public Safety,525252227.0,General Fund,2008
appropriation,Streets & Infrastructure,13029408.0,General Fund,2008
appropriation,Subtotal Appropriations,760416886.0,General Fund,2008
appropriation,Transfers to other funds,92132436.0,General Fund,2008
appropriation,TOTAL APPROPRIATIONS,852549322.0,General Fund,2008
appropriation,GROSS ENDING FUND BALANCE,90877100.0,General Fund,2008
balance,BEGINNING BALANCE,335450304.0,Total All Funds,2008
revenue,Property Tax,366259953.0,Total All Funds,2008
revenue,Sales Tax,232206661.0,Total All Funds,2008
revenue,Other Tax,100640203.0,Total All Funds,2008
revenue,Licenses and Permits,5778367.0,Total All Funds,2008
revenue,CPS Energy,253962706.0,Total All Funds,2008
revenue,San Antonio Water System,9425230.0,Total All Funds,2008
revenue,Charges for Services,313542997.0,Total All Funds,2008
revenue,Fines & Forfeits,12275357.0,Total All Funds,2008
revenue,Miscellaneous,55958588.0,Total All Funds,2008
revenue,Grants,176874729.0,Total All Funds,2008
revenue,Subtotal Revenues,1535450165.0,Total All Funds,2008
revenue,Transfers from other funds,203440981.0,Total All Funds,2008
revenue,TOTAL REVENUES,1738891146.0,Total All Funds,2008
revenue,TOTAL AVAILABLE FUNDS,2074341450.0,Total All Funds,2008
appropriation,Administrative & Operational Excellence,69808786.0,Total All Funds,2008
appropriation,"Convention, Tourism & Culture",63371102.0,Total All Funds,2008
appropriation,Economic Development,59632530.0,Total All Funds,2008
appropriation,Environmental,81131845.0,Total All Funds,2008
appropriation,Health & Human Services,239851164.0,Total All Funds,2008
appropriation,Neighborhood Services,11476088.0,Total All Funds,2008
appropriation,Parks & Recreation,53654891.0,Total All Funds,2008
appropriation,Public Safety,579990470.0,Total All Funds,2008
appropriation,Streets & Infrastructure,80496498.0,Total All Funds,2008
appropriation,Debt Service,193023570.0,Total All Funds,2008
appropriation,Subtotal Appropriations,1432436944.0,Total All Funds,2008
appropriation,Transfers to other funds,357730466.0,Total All Funds,2008
appropriation,TOTAL APPROPRIATIONS,1790167410.0,Total All Funds,2008
appropriation,GROSS ENDING FUND BALANCE,284174040.0,Total All Funds,2008
balance,BEGINNING BALANCE,86255937.0,General Fund,2009
revenue,Property Tax,249872945.0,General Fund,2009
revenue,Sales Tax,202809519.0,General Fund,2009
revenue,Other Tax,32656627.0,General Fund,2009
revenue,Licenses and Permits,6129118.0,General Fund,2009
revenue,CPS Energy,288861091.0,General Fund,2009
revenue,San Antonio Water System,9880665.0,General Fund,2009
revenue,Charges for Services,41673749.0,General Fund,2009
revenue,Fines & Forfeits,12166379.0,General Fund,2009
revenue,Miscellaneous,11659658.0,General Fund,2009
revenue,Subtotal Revenues,861669386.0,General Fund,2009
revenue,Transfers from other funds,25832769.0,General Fund,2009
revenue,TOTAL REVENUES,887502155.0,General Fund,2009
revenue,TOTAL AVAILABLE FUNDS,973758092.0,General Fund,2009
appropriation,Administrative & Operational Excellence,86474994.0,General Fund,2009
appropriation,"Convention, Tourism & Culture",574389.0,General Fund,2009
appropriation,Economic Development,16056586.0,General Fund,2009
appropriation,Environmental 0,1376453.0,General Fund,2009
appropriation,Health & Human Services,74504752.0,General Fund,2009
appropriation,Neighborhood Services,11167695.0,General Fund,2009
appropriation,Parks & Recreation,49987746.0,General Fund,2009
appropriation,Public Safety,563491492.0,General Fund,2009
appropriation,Streets & Infrastructure,15028046.0,General Fund,2009
appropriation,Subtotal Appropriations,817285700.0,General Fund,2009
appropriation,Transfers to other funds,112676235.0,General Fund,2009
appropriation,TOTAL APPROPRIATIONS,929961935.0,General Fund,2009
appropriation,GROSS ENDING FUND BALANCE,43796156.0,General Fund,2009
balance,BEGINNING BALANCE,318721257.0,Total All Funds,2009
revenue,Property Tax,398433696.0,Total All Funds,2009
revenue,Sales Tax,239622071.0,Total All Funds,2009
revenue,Other Tax,105238567.0,Total All Funds,2009
revenue,Licenses and Permits,6129118.0,Total All Funds,2009
revenue,CPS Energy,288861091.0,Total All Funds,2009
revenue,San Antonio Water System,9880665.0,Total All Funds,2009
revenue,Charges for Services,324947279.0,Total All Funds,2009
revenue,Fines & Forfeits,13585677.0,Total All Funds,2009
revenue,Miscellaneous,43468511.0,Total All Funds,2009
revenue,Grants,183867998.0,Total All Funds,2009
revenue,Subtotal Revenues,1622498089.0,Total All Funds,2009
revenue,Transfers from other funds,232727159.0,Total All Funds,2009
revenue,TOTAL REVENUES,1855225248.0,Total All Funds,2009
revenue,TOTAL AVAILABLE FUNDS,2173946505.0,Total All Funds,2009
appropriation,Administrative & Operational Excellence,86526994.0,Total All Funds,2009
appropriation,"Convention, Tourism & Culture",65049409.0,Total All Funds,2009
appropriation,Economic Development,61290707.0,Total All Funds,2009
appropriation,Environmental,96709644.0,Total All Funds,2009
appropriation,Health & Human Services,241486681.0,Total All Funds,2009
appropriation,Neighborhood Services,12056209.0,Total All Funds,2009
appropriation,Parks & Recreation,53349903.0,Total All Funds,2009
appropriation,Public Safety,624433129.0,Total All Funds,2009
appropriation,Streets & Infrastructure,88881407.0,Total All Funds,2009
appropriation,Debt Service,213554596.0,Total All Funds,2009
appropriation,Subtotal Appropriations,1543338680.0,Total All Funds,2009
appropriation,Transfers to other funds,387460191.0,Total All Funds,2009
appropriation,TOTAL APPROPRIATIONS,1930798871.0,Total All Funds,2009
appropriation,GROSS ENDING FUND BALANCE,243147635.0,Total All Funds,2009
balance,BEGINNING BALANCE,81933603.0,General Fund,2010
revenue,Property Tax,249172145.0,General Fund,2010
revenue,Sales Tax,189565423.0,General Fund,2010
revenue,Other Tax,35389162.0,General Fund,2010
revenue,Licenses and Permits,5647275.0,General Fund,2010
revenue,CPS Energy,251053000.0,General Fund,2010
revenue,San Antonio Water System,10155356.0,General Fund,2010
revenue,Charges for Services,43372206.0,General Fund,2010
revenue,Fines & Forfeits,14234582.0,General Fund,2010
revenue,Miscellaneous,9390135.0,General Fund,2010
revenue,Subtotal Revenues,816193660.0,General Fund,2010
revenue,Transfers from other funds,27955291.0,General Fund,2010
revenue,TOTAL REVENUES,844148952.0,General Fund,2010
revenue,TOTAL AVAILABLE FUNDS,926082555.0,General Fund,2010
appropriation,Administrative & Operational Excellence,76296481.0,General Fund,2010
appropriation,"Convention, Tourism & Culture",574389.0,General Fund,2010
appropriation,Economic Development,12322979.0,General Fund,2010
appropriation,Environmental 0,1171244.0,General Fund,2010
appropriation,Health & Human Services,77411726.0,General Fund,2010
appropriation,Neighborhood Services,10536913.0,General Fund,2010
appropriation,Parks & Recreation,45799938.0,General Fund,2010
appropriation,Public Safety,573089325.0,General Fund,2010
appropriation,Streets & Infrastructure,64959058.0,General Fund,2010
appropriation,Subtotal Appropriations,860990809.0,General Fund,2010
appropriation,Transfers to other funds,26086434.0,General Fund,2010
appropriation,TOTAL APPROPRIATIONS,887077240.0,General Fund,2010
appropriation,Financial Reserves (Incremental Amount),678998.0,General Fund,2010
appropriation,Reserve for Two Year Balanced Budget Plan,38326317.0,General Fund,2010
appropriation,GROSS ENDING FUND BALANCE $ 0,23214947.0,General Fund,2010
balance,BEGINNING BALANCE,293522085.0,Total All Funds,2010
revenue,Property Tax,397950629.0,Total All Funds,2010
revenue,Sales Tax,224738289.0,Total All Funds,2010
revenue,Other Tax,104810948.0,Total All Funds,2010
revenue,Licenses and Permits,5647275.0,Total All Funds,2010
revenue,CPS Energy,251053000.0,Total All Funds,2010
revenue,San Antonio Water System,10155356.0,Total All Funds,2010
revenue,Charges for Services,311263397.0,Total All Funds,2010
revenue,Fines & Forfeits,16354100.0,Total All Funds,2010
revenue,Miscellaneous,19327761.0,Total All Funds,2010
revenue,Grants,227162780.0,Total All Funds,2010
revenue,Subtotal Revenues,1578311243.0,Total All Funds,2010
revenue,Transfers from other funds,194904967.0,Total All Funds,2010
revenue,TOTAL REVENUES,1773216210.0,Total All Funds,2010
revenue,TOTAL AVAILABLE FUNDS,2066738295.0,Total All Funds,2010
appropriation,Administrative & Operational Excellence,76362703.0,Total All Funds,2010
appropriation,"Convention, Tourism & Culture",65216728.0,Total All Funds,2010
appropriation,Economic Development,75961078.0,Total All Funds,2010
appropriation,Environmental,80463031.0,Total All Funds,2010
appropriation,Health & Human Services,249021207.0,Total All Funds,2010
appropriation,Neighborhood Services,16097335.0,Total All Funds,2010
appropriation,Parks & Recreation,48633357.0,Total All Funds,2010
appropriation,Public Safety,636813235.0,Total All Funds,2010
appropriation,Streets & Infrastructure,111857567.0,Total All Funds,2010
appropriation,Debt Service,259796277.0,Total All Funds,2010
appropriation,Subtotal Appropriations,1620222517.0,Total All Funds,2010
appropriation,Transfers to other funds,232453278.0,Total All Funds,2010
appropriation,TOTAL APPROPRIATIONS,1852675795.0,Total All Funds,2010
appropriation,Financial Reserves (Incremental Amount),678998.0,Total All Funds,2010
appropriation,Reserve for Two Year Balanced Budget Plan,38326317.0,Total All Funds,2010
appropriation,GROSS ENDING FUND BALANCE,175057186.0,Total All Funds,2010
balance,BEGINNING BALANCE,89344603.0,General Fund,2011
revenue,Property Tax,239738583.0,General Fund,2011
revenue,Delinquent Property Tax,4807790.0,General Fund,2011
revenue,Sales Tax,188070529.0,General Fund,2011
revenue,Other Tax,35309277.0,General Fund,2011
revenue,Licenses and Permits,5651259.0,General Fund,2011
revenue,CPS Energy,275758786.0,General Fund,2011
revenue,San Antonio Water System,9868940.0,General Fund,2011
revenue,Charges for Services,43940287.0,General Fund,2011
revenue,Fines & Forfeits,14794483.0,General Fund,2011
revenue,Miscellaneous,10488855.0,General Fund,2011
revenue,Subtotal Revenues,835962992.0,General Fund,2011
revenue,Transfers from other funds,23562935.0,General Fund,2011
revenue,TOTAL REVENUES,859525927.0,General Fund,2011
revenue,TOTAL AVAILABLE FUNDS,948870530.0,General Fund,2011
appropriation,Administrative & Operational Excellence,68207351.0,General Fund,2011
appropriation,"Convention, Tourism & Culture 0",62892981.0,General Fund,2011
appropriation,Economic Development,15905016.0,General Fund,2011
appropriation,Environmental 0,713433.0,General Fund,2011
appropriation,Health & Human Services,76261699.0,General Fund,2011
appropriation,Neighborhood Services,20135855.0,General Fund,2011
appropriation,Parks & Recreation,59286713.0,General Fund,2011
appropriation,Public Safety,587943780.0,General Fund,2011
appropriation,Streets & Infrastructure,77835672.0,General Fund,2011
appropriation,Subtotal Appropriations,905576086.0,General Fund,2011
appropriation,Transfers to other funds,21269814.0,General Fund,2011
appropriation,TOTAL APPROPRIATIONS,926845900.0,General Fund,2011
appropriation,Financial Reserves (Incremental Amount),3579185.0,General Fund,2011
appropriation,Reserve for Two Year Balanced Budget Plan,18445445.0,General Fund,2011
appropriation,GROSS ENDING FUND BALANCE $ 0,32874110.0,General Fund,2011
balance,BEGINNING BALANCE,317356081.0,Total All Funds,2011
revenue,Property Tax,384452602.0,Total All Funds,2011
revenue,Delinquent Property Tax,4807790.0,Total All Funds,2011
revenue,Sales Tax,217781053.0,Total All Funds,2011
revenue,Other Tax,99209409.0,Total All Funds,2011
revenue,Licenses and Permits,5651259.0,Total All Funds,2011
revenue,CPS Energy,275758786.0,Total All Funds,2011
revenue,San Antonio Water System,9868940.0,Total All Funds,2011
revenue,Charges for Services,341670032.0,Total All Funds,2011
revenue,Fines & Forfeits,16912845.0,Total All Funds,2011
revenue,Miscellaneous,19674660.0,Total All Funds,2011
revenue,Grants,218221055.0,Total All Funds,2011
revenue,Subtotal Revenues,1628529052.0,Total All Funds,2011
revenue,Transfers from other funds,181541701.0,Total All Funds,2011
revenue,TOTAL REVENUES,1810070753.0,Total All Funds,2011
revenue,TOTAL AVAILABLE FUNDS,2127426834.0,Total All Funds,2011
appropriation,Administrative & Operational Excellence,69182366.0,Total All Funds,2011
appropriation,"Convention, Tourism & Culture",63555023.0,Total All Funds,2011
appropriation,Economic Development,91833602.0,Total All Funds,2011
appropriation,Environmental,110535414.0,Total All Funds,2011
appropriation,Health & Human Services,232364491.0,Total All Funds,2011
appropriation,Neighborhood Services,21714348.0,Total All Funds,2011
appropriation,Parks & Recreation,62266913.0,Total All Funds,2011
appropriation,Public Safety,636782576.0,Total All Funds,2011
appropriation,Streets & Infrastructure,126345470.0,Total All Funds,2011
appropriation,Debt Service,248888907.0,Total All Funds,2011
appropriation,Subtotal Appropriations,1663469109.0,Total All Funds,2011
appropriation,Transfers to other funds,272250134.0,Total All Funds,2011
appropriation,TOTAL APPROPRIATIONS,1935719243.0,Total All Funds,2011
appropriation,GROSS ENDING FUND BALANCE,191707591.0,Total All Funds,2011
balance,BEGINNING BALANCE,76866977.0,General Fund,2012
balance,Property Tax,239361516.0,General Fund,2012
balance,Delinquent Property Tax,4918520.0,General Fund,2012
balance,Sales Tax,199320203.0,General Fund,2012
balance,Other Tax,35957207.0,General Fund,2012
balance,Licenses and Permits,6668871.0,General Fund,2012
balance,CPS Energy,289607440.0,General Fund,2012
balance,San Antonio Water System,10161799.0,General Fund,2012
balance,Charges for Services,48288741.0,General Fund,2012
balance,Fines & Forfeits,14532973.0,General Fund,2012
balance,Miscellaneous,12491209.0,General Fund,2012
balance,Subtotal Revenues,868708067.0,General Fund,2012
balance,Transfers from other funds,26587418.0,General Fund,2012
balance,TOTAL REVENUES,895295485.0,General Fund,2012
balance,TOTAL AVAILABLE FUNDS,972162462.0,General Fund,2012
balance,Administrative & Operational Excellence,67755133.0,General Fund,2012
balance,"Convention, Tourism & Culture 0",64672727.0,General Fund,2012
balance,Economic Development,16275846.0,General Fund,2012
balance,Environmental 0,652250.0,General Fund,2012
balance,Health & Human Services,81434663.0,General Fund,2012
balance,Neighborhood Services,21540728.0,General Fund,2012
balance,Parks & Recreation,59316850.0,General Fund,2012
balance,Public Safety,603408310.0,General Fund,2012
balance,Streets & Infrastructure,79582057.0,General Fund,2012
balance,Subtotal Appropriations,929313587.0,General Fund,2012
balance,Transfers to other funds,18862062.0,General Fund,2012
balance,TOTAL APPROPRIATIONS,948175649.0,General Fund,2012
balance,Reserve for Federal Stimulus 50 Police Officers,1000000.0,General Fund,2012
balance,Financial Reserves (Incremental Amount),1911806.0,General Fund,2012
balance,Reserve for Two-Year Budget Plan,21075007.0,General Fund,2012
balance,GROSS ENDING FUND BALANCE $ 0,38411889.0,General Fund,2012
balance,BEGINNING BALANCE,264081196.0,Total All Funds,2012
revenue,Property Tax,382293165.0,Total All Funds,2012
revenue,Delinquent Property Tax,7427257.0,Total All Funds,2012
revenue,Sales Tax,235677076.0,Total All Funds,2012
revenue,Other Tax,101909779.0,Total All Funds,2012
revenue,Licenses and Permits,6668871.0,Total All Funds,2012
revenue,CPS Energy,289607440.0,Total All Funds,2012
revenue,San Antonio Water System,10161799.0,Total All Funds,2012
revenue,Charges for Services,340536005.0,Total All Funds,2012
revenue,Fines & Forfeits,16853894.0,Total All Funds,2012
revenue,Miscellaneous,19552464.0,Total All Funds,2012
revenue,Grants,192342311.0,Total All Funds,2012
revenue,Subtotal Revenues,1625450714.0,Total All Funds,2012
revenue,Transfers from other funds,164080720.0,Total All Funds,2012
revenue,TOTAL REVENUES,1789531434.0,Total All Funds,2012
revenue,TOTAL AVAILABLE FUNDS,2053612630.0,Total All Funds,2012
revenue,Administrative & Operational Excellence,68447979.0,Total All Funds,2012
revenue,"Convention, Tourism & Culture",64867133.0,Total All Funds,2012
revenue,Economic Development,88279312.0,Total All Funds,2012
revenue,Environmental,103976541.0,Total All Funds,2012
revenue,Health & Human Services,226335333.0,Total All Funds,2012
revenue,Neighborhood Services,22884320.0,Total All Funds,2012
revenue,Parks & Recreation,61841860.0,Total All Funds,2012
revenue,Public Safety,650303713.0,Total All Funds,2012
revenue,Streets & Infrastructure,130616619.0,Total All Funds,2012
revenue,Debt Service,228311411.0,Total All Funds,2012
revenue,Subtotal Appropriations,1645864221.0,Total All Funds,2012
revenue,Transfers to other funds,222966439.0,Total All Funds,2012
revenue,TOTAL APPROPRIATIONS,1868830660.0,Total All Funds,2012
revenue,GROSS ENDING FUND BALANCE,184781971.0,Total All Funds,2012
balance,BEGINNING BALANCE,71140842.0,General Fund,2013
balance,Property Tax,242846289.0,General Fund,2013
balance,Delinquent Property Tax,4391330.0,General Fund,2013
balance,Sales Tax,221837083.0,General Fund,2013
balance,Other Tax,35961859.0,General Fund,2013
balance,Licenses and Permits,7178736.0,General Fund,2013
balance,CPS Energy,285505538.0,General Fund,2013
balance,San Antonio Water System,10947561.0,General Fund,2013
balance,Charges for Services,49415400.0,General Fund,2013
balance,Fines & Forfeits,14550998.0,General Fund,2013
balance,Miscellaneous,12142692.0,General Fund,2013
balance,Subtotal Revenues,892478839.0,General Fund,2013
balance,Transfers from other funds,25671269.0,General Fund,2013
balance,TOTAL REVENUES,918150108.0,General Fund,2013
balance,TOTAL AVAILABLE FUNDS,989290950.0,General Fund,2013
appropriation,Administrative & Operational Excellence,68597486.0,General Fund,2013
appropriation,"Convention, Tourism & Culture",8033550.0,General Fund,2013
appropriation,Economic Development,7101664.0,General Fund,2013
appropriation,Environmental,1700629.0,General Fund,2013
appropriation,Health & Human Services,83395755.0,General Fund,2013
appropriation,Neighborhood Services,27508686.0,General Fund,2013
appropriation,Parks & Recreation,59050992.0,General Fund,2013
appropriation,Public Safety,629120050.0,General Fund,2013
appropriation,Streets & Infrastructure,78438727.0,General Fund,2013
appropriation,Subtotal Appropriations,961246910.0,General Fund,2013
appropriation,Transfers to other funds,18369893.0,General Fund,2013
appropriation,TOTAL APPROPRIATIONS,979616803.0,General Fund,2013
appropriation,Financial Reserves (Incremental Amount),2837576.0,General Fund,2013
appropriation,Reserve fpr Two-Year Budget Plan,6836570.0,General Fund,2013
appropriation,GROSS ENDING FUND BALANCE $ 0,54104032.0,General Fund,2013
balance,BEGINNING BALANCE,275606156.0,Total All Funds,2013
revenue,Property Tax,387858825.0,Total All Funds,2013
revenue,Delinquent Property Tax,7658300.0,Total All Funds,2013
revenue,Sales Tax,262377285.0,Total All Funds,2013
revenue,Other Tax,109615669.0,Total All Funds,2013
revenue,Licenses and Permits,7178736.0,Total All Funds,2013
revenue,CPS Energy,285505538.0,Total All Funds,2013
revenue,San Antonio Water System,10947561.0,Total All Funds,2013
revenue,Charges for Services,354238039.0,Total All Funds,2013
revenue,Fines & Forfeits,16820744.0,Total All Funds,2013
revenue,Miscellaneous,17840680.0,Total All Funds,2013
revenue,Grants,154340128.0,Total All Funds,2013
revenue,Subtotal Revenues,1625699412.0,Total All Funds,2013
revenue,Transfers from other funds,159936778.0,Total All Funds,2013
revenue,TOTAL REVENUES,1785636190.0,Total All Funds,2013
revenue,TOTAL AVAILABLE FUNDS,2061242346.0,Total All Funds,2013
appropriation,Administrative & Operational Excellence,69651655.0,Total All Funds,2013
appropriation,"Convention, Tourism & Culture",73435942.0,Total All Funds,2013
appropriation,Economic Development,85285405.0,Total All Funds,2013
appropriation,Environmental,90364312.0,Total All Funds,2013
appropriation,Health & Human Services,209212960.0,Total All Funds,2013
appropriation,Neighborhood Services,30035699.0,Total All Funds,2013
appropriation,Parks & Recreation,61460122.0,Total All Funds,2013
appropriation,Public Safety,670686259.0,Total All Funds,2013
appropriation,Streets & Infrastructure,113897029.0,Total All Funds,2013
appropriation,Debt Service,236933976.0,Total All Funds,2013
appropriation,Subtotal Appropriations,1640963359.0,Total All Funds,2013
appropriation,Transfers to other funds,231144598.0,Total All Funds,2013
appropriation,TOTAL APPROPRIATIONS,1872107957.0,Total All Funds,2013
appropriation,GROSS ENDING FUND BALANCE,156967825.0,Total All Funds,2013
balance,BEGINNING BALANCE,35055789.0,General Fund,2014
balance,Property Tax,254301878.0,General Fund,2014
balance,Delinquent Property Tax,4845383.0,General Fund,2014
balance,Sales Tax,234858449.0,General Fund,2014
balance,Other Tax,36274305.0,General Fund,2014
balance,Licenses and Permits,7545673.0,General Fund,2014
balance,CPS Energy,292161885.0,General Fund,2014
balance,San Antonio Water System,11914324.0,General Fund,2014
balance,Charges for Services,57513223.0,General Fund,2014
balance,Fines & Forfeits,14369816.0,General Fund,2014
balance,Miscellaneous,10238829.0,General Fund,2014
balance,Subtotal Revenues,931376810.0,General Fund,2014
balance,Transfers from other funds,30224249.0,General Fund,2014
balance,TOTAL REVENUES,961601059.0,General Fund,2014
balance,TOTAL AVAILABLE FUNDS,996656848.0,General Fund,2014
appropriation,Administrative & Operational Excellence,62609242.0,General Fund,2014
appropriation,"Convention, Tourism & Culture",7957730.0,General Fund,2014
appropriation,Economic Development & Development Svcs,10688283.0,General Fund,2014
appropriation,Environmental 0,2011423.0,General Fund,2014
appropriation,Health & Human Services,83527739.0,General Fund,2014
appropriation,Neighborhood Services,44299050.0,General Fund,2014
appropriation,Parks & Recreation,43751471.0,General Fund,2014
appropriation,Public Safety,657222738.0,General Fund,2014
appropriation,Streets & Infrastructure,68747201.0,General Fund,2014
appropriation,Subtotal Appropriations,978803454.0,General Fund,2014
appropriation,Transfers to other funds,9453618.0,General Fund,2014
appropriation,TOTAL APPROPRIATIONS,988257072.0,General Fund,2014
appropriation,Financial Reserves (Incremental Amount),834650.0,General Fund,2014
appropriation,Reserve for Two-Year Budget Plan,7565127.0,General Fund,2014
appropriation,GROSS ENDING FUND BALANCE* $ 0,81838897.0,General Fund,2014
balance,BEGINNING BALANCE,216321090.0,Total All Funds,2014
revenue,Property Tax,406154972.0,Total All Funds,2014
revenue,Delinquent Property Tax,7724033.0,Total All Funds,2014
revenue,Sales Tax,307194038.0,Total All Funds,2014
revenue,Other Tax,113480167.0,Total All Funds,2014
revenue,Licenses and Permits,7545673.0,Total All Funds,2014
revenue,CPS Energy,292161885.0,Total All Funds,2014
revenue,San Antonio Water System,11914324.0,Total All Funds,2014
revenue,Charges for Services,373882987.0,Total All Funds,2014
