section,line_item,amount,fund,fiscal_year
revenue,Sales Tax,295399577.0,General Fund,2021
revenue,Other Tax,28910936.0,General Fund,2021
revenue,Licenses and Permits,8835282.0,General Fund,2021
revenue,CPS Energy,351524046.0,General Fund,2021
revenue,San Antonio Water System,29395216.0,General Fund,2021
revenue,Charges for Services,62228482.0,General Fund,2021
revenue,Fines & Forfeits,8079522.0,General Fund,2021
revenue,Miscellaneous,13594731.0,General Fund,2021
revenue,Subtotal Revenues,1204660367.0,General Fund,2021
revenue,Transfers from other funds,36812385.0,General Fund,2021
revenue,TOTAL REVENUES,1241472752.0,General Fund,2021
revenue,TOTAL AVAILABLE FUNDS,1379938342.0,General Fund,2021
appropriation,Administrative & Operational Excellence,85185560.0,General Fund,2021
appropriation,"Convention, Tourism & Culture",2776311.0,General Fund,2021
appropriation,Economic Development & Development Svc,20571444.0,General Fund,2021
appropriation,Environmental 0,3181280.0,General Fund,2021
appropriation,Health & Human Services,107845060.0,General Fund,2021
appropriation,Neighborhood Services,69198480.0,General Fund,2021
appropriation,Parks & Recreation,50033248.0,General Fund,2021
appropriation,Public Safety,826952886.0,General Fund,2021
appropriation,Streets & Infrastructure,97947253.0,General Fund,2021
appropriation,Subtotal Appropriations,1260510242.0,General Fund,2021
appropriation,Transfers to other funds,26836999.0,General Fund,2021
appropriation,TOTAL APPROPRIATIONS,1287347241.0,General Fund,2021
appropriation,Reserve for COPS Grant,3000000.0,General Fund,2021
appropriation,Reserve for Two-Year Budget Plan,89591101.0,General Fund,2021
appropriation,GROSS ENDING FUND BALANCE* $ 0,39471772.0,General Fund,2021
balance,BEGINNING BALANCE,334092571.0,Total All Funds,2021
revenue,Property Tax,640624293.0,Total All Funds,2021
revenue,Delinquent Property Tax,5608210.0,Total All Funds,2021
revenue,Sales Tax,362839178.0,Total All Funds,2021
revenue,Other Tax,93183014.0,Total All Funds,2021
revenue,Licenses and Permits,8835282.0,Total All Funds,2021
revenue,CPS Energy,351524046.0,Total All Funds,2021
revenue,San Antonio Water System,29395216.0,Total All Funds,2021
revenue,Charges for Services,414765770.0,Total All Funds,2021
revenue,Fines & Forfeits,9360567.0,Total All Funds,2021
revenue,Miscellaneous,25923806.0,Total All Funds,2021
revenue,Grants,278842490.0,Total All Funds,2021
revenue,Subtotal Revenues,2233783972.0,Total All Funds,2021
revenue,Transfers from other funds,161721117.0,Total All Funds,2021
revenue,TOTAL REVENUES,2395505090.0,Total All Funds,2021
revenue,TOTAL AVAILABLE FUNDS,2729597661.0,Total All Funds,2021
appropriation,Administrative & Operational Excellence,91120716.0,Total All Funds,2021
appropriation,"Convention, Tourism & Culture",98306324.0,Total All Funds,2021
appropriation,Economic Development,128909666.0,Total All Funds,2021
appropriation,Environmental,124938044.0,Total All Funds,2021
appropriation,Health & Human Services,404134750.0,Total All Funds,2021
appropriation,Neighborhood Services,72423646.0,Total All Funds,2021
appropriation,Parks & Recreation,62527436.0,Total All Funds,2021
appropriation,Public Safety,857070719.0,Total All Funds,2021
appropriation,Streets & Infrastructure,145038465.0,Total All Funds,2021
appropriation,Debt Service,301908095.0,Total All Funds,2021
appropriation,Subtotal Appropriations,2286377862.0,Total All Funds,2021
appropriation,Transfers to other funds,210686478.0,Total All Funds,2021
appropriation,TOTAL APPROPRIATIONS,2497064340.0,Total All Funds,2021
appropriation,GROSS ENDING FUND BALANCE,142942219.0,Total All Funds,2021
balance,BEGINNING BALANCE,154060841.0,General Fund,2022
revenue,Property Tax,410350992.0,General Fund,2022
revenue,Delinquent Property Tax,1561488.0,General Fund,2022
revenue,Sales Tax,336556846.0,General Fund,2022
revenue,Other Tax,30240331.0,General Fund,2022
revenue,Licenses and Permits,9109942.0,General Fund,2022
revenue,CPS Energy,361234586.0,General Fund,2022
revenue,San Antonio Water System,30795247.0,General Fund,2022
revenue,Charges for Services,54595407.0,General Fund,2022
revenue,Fines and Forfeits,8305887.0,General Fund,2022
revenue,Miscellaneous,14062462.0,General Fund,2022
revenue,Subtotal Revenues,1262473104.0,General Fund,2022
revenue,Transfer from ARPA,30000000.0,General Fund,2022
revenue,Transfers from Other Funds,38461590.0,General Fund,2022
revenue,TOTAL REVENUES,1330934694.0,General Fund,2022
revenue,TOTAL AVAILABLE FUNDS,1484995535.0,General Fund,2022
appropriation,Administrative & Operational Excellence,94369040.0,General Fund,2022
appropriation,"Convention, Tourism & Culture",2678556.0,General Fund,2022
appropriation,Economic Development,23799088.0,General Fund,2022
appropriation,Environmental 0,3148788.0,General Fund,2022
appropriation,Health and Human Services,121581412.0,General Fund,2022
appropriation,Neighborhood Services,77398476.0,General Fund,2022
appropriation,Parks and Recreation,53840397.0,General Fund,2022
appropriation,Public Safety,859843170.0,General Fund,2022
appropriation,Streets and Infrastructure,97286786.0,General Fund,2022
appropriation,Subtotal Appropriations,1330796925.0,General Fund,2022
appropriation,Transfers to other funds,26720133.0,General Fund,2022
appropriation,TOTAL APPROPRIATIONS,1357517058.0,General Fund,2022
appropriation,Financial Reserves (Incremental Amount),3374015.0,General Fund,2022
appropriation,Reserve for COPS Grant,2600000.0,General Fund,2022
appropriation,Reserve for Health Strategic Plan Implementation,2000000.0,General Fund,2022
appropriation,Reserve for Two-Year Budget Plan,119504462.0,General Fund,2022
appropriation,GROSS ENDING FUND BALANCE* $ 0,55689977.0,General Fund,2022
balance,BEGINNING BALANCE,389849710.0,Total All Funds,2022
revenue,Property Tax,660629951.0,Total All Funds,2022
revenue,Delinquent Property Tax,3337488.0,Total All Funds,2022
revenue,Sales Tax,436251815.0,Total All Funds,2022
revenue,Other Tax,103817678.0,Total All Funds,2022
revenue,Licenses and Permits,9109942.0,Total All Funds,2022
revenue,CPS Energy,361234586.0,Total All Funds,2022
revenue,San Antonio Water System,30795247.0,Total All Funds,2022
revenue,Charges for Services,479416564.0,Total All Funds,2022
revenue,Fines and Forfeits,9376649.0,Total All Funds,2022
revenue,Miscellaneous,18779968.0,Total All Funds,2022
revenue,Grants,378497340.0,Total All Funds,2022
revenue,Subtotal Revenues,2504632218.0,Total All Funds,2022
revenue,Transfer from ARPA,65603945.0,Total All Funds,2022
revenue,Transfers from Other Funds,196760241.0,Total All Funds,2022
revenue,TOTAL REVENUES,2766996405.0,Total All Funds,2022
revenue,TOTAL AVAILABLE FUNDS,3156846115.0,Total All Funds,2022
appropriation,Administrative & Operational Excellence,94610723.0,Total All Funds,2022
appropriation,"Convention, Tourism & Culture",113993187.0,Total All Funds,2022
appropriation,Economic Development,196343337.0,Total All Funds,2022
appropriation,Environmental,128955355.0,Total All Funds,2022
appropriation,Health and Human Services,362272977.0,Total All Funds,2022
appropriation,Neighborhood Services,160811750.0,Total All Funds,2022
appropriation,Parks and Recreation,66934129.0,Total All Funds,2022
appropriation,Public Safety,881625624.0,Total All Funds,2022
appropriation,Streets and Infrastructure,152332376.0,Total All Funds,2022
appropriation,Debt Service,316237355.0,Total All Funds,2022
appropriation,Subtotal Appropriations,2474116813.0,Total All Funds,2022
appropriation,Transfers to other funds,374268657.0,Total All Funds,2022
appropriation,TOTAL APPROPRIATIONS,2848385470.0,Total All Funds,2022
appropriation,GROSS ENDING FUND BALANCE,180982168.0,Total All Funds,2022
balance,BEGINNING BALANCE,221840081.0,General Fund,2023
revenue,Property Tax,434832046.0,General Fund,2023
revenue,Delinquent Property Tax,3962000.0,General Fund,2023
revenue,Sales Tax,387472520.0,General Fund,2023
revenue,Other Tax,30635459.0,General Fund,2023
revenue,Licenses and Permits,9713776.0,General Fund,2023
revenue,CPS Energy,391778870.0,General Fund,2023
revenue,San Antonio Water System,31440353.0,General Fund,2023
revenue,Charges for Services,66623115.0,General Fund,2023
revenue,Fines and Forfeits,6267665.0,General Fund,2023
revenue,Miscellaneous,23039766.0,General Fund,2023
revenue,Subtotal Revenues,1391937883.0,General Fund,2023
revenue,Transfer from ARPA,16500000.0,General Fund,2023
revenue,Transfers from Other Funds,43740850.0,General Fund,2023
revenue,TOTAL REVENUES,1452178733.0,General Fund,2023
revenue,TOTAL AVAILABLE FUNDS,1674018814.0,General Fund,2023
appropriation,Administrative & Operational Excellence,106491163.0,General Fund,2023
appropriation,"Convention, Tourism & Culture",3084923.0,General Fund,2023
appropriation,Economic Development & Development Svcs,21337004.0,General Fund,2023
appropriation,Environmental 0,15695228.0,General Fund,2023
appropriation,Health and Human Services,141457004.0,General Fund,2023
appropriation,Neighborhood Services,85869368.0,General Fund,2023
appropriation,Parks and Recreation,61884356.0,General Fund,2023
appropriation,Public Safety,904719267.0,General Fund,2023
appropriation,Streets and Infrastructure,115090293.0,General Fund,2023
appropriation,Subtotal Appropriations,1439933378.0,General Fund,2023
appropriation,Transfers to other funds,70841324.0,General Fund,2023
appropriation,TOTAL APPROPRIATIONS,1510774702.0,General Fund,2023
appropriation,Financial Reserves (Incremental Amount),13474404.0,General Fund,2023
appropriation,Reserve for COPS Grant,3000000.0,General Fund,2023
appropriation,Reserve for Metro Health SA Forward,1211437.0,General Fund,2023
appropriation,Reserve for Two-Year Budget Plan,145558271.0,General Fund,2023
appropriation,GROSS ENDING FUND BALANCE* $ 0,90997761.0,General Fund,2023
balance,BEGINNING BALANCE,484630379.0,Total All Funds,2023
revenue,Property Tax,713426991.0,Total All Funds,2023
revenue,Delinquent Property Tax,6500000.0,Total All Funds,2023
revenue,Sales Tax,505412667.0,Total All Funds,2023
revenue,Other Tax,134026519.0,Total All Funds,2023
revenue,Licenses and Permits,9713776.0,Total All Funds,2023
revenue,CPS Energy,391778870.0,Total All Funds,2023
revenue,San Antonio Water System,31440353.0,Total All Funds,2023
revenue,Charges for Services,527469409.0,Total All Funds,2023
revenue,Fines and Forfeits,7374956.0,Total All Funds,2023
revenue,Miscellaneous,33057088.0,Total All Funds,2023
revenue,Grants,410786343.0,Total All Funds,2023
revenue,Subtotal Revenues,2783619941.0,Total All Funds,2023
revenue,Transfer from ARPA,16500000.0,Total All Funds,2023
revenue,Transfers from Other Funds,188123316.0,Total All Funds,2023
revenue,TOTAL REVENUES,2988243257.0,Total All Funds,2023
revenue,TOTAL AVAILABLE FUNDS,3472873635.0,Total All Funds,2023
appropriation,Administrative & Operational Excellence,107801582.0,Total All Funds,2023
appropriation,"Convention, Tourism & Culture",142510544.0,Total All Funds,2023
appropriation,Economic Development,259081035.0,Total All Funds,2023
appropriation,Environmental,152626092.0,Total All Funds,2023
appropriation,Health and Human Services,441616735.0,Total All Funds,2023
appropriation,Neighborhood Services,117781960.0,Total All Funds,2023
appropriation,Parks and Recreation,74418271.0,Total All Funds,2023
appropriation,Public Safety,926802907.0,Total All Funds,2023
appropriation,Streets and Infrastructure,192014784.0,Total All Funds,2023
appropriation,Debt Service,348648466.0,Total All Funds,2023
appropriation,Subtotal Appropriations,2763302376.0,Total All Funds,2023
appropriation,Transfers to other funds,351992523.0,Total All Funds,2023
appropriation,TOTAL APPROPRIATIONS,3115294899.0,Total All Funds,2023
appropriation,GROSS ENDING FUND BALANCE,194334624.0,Total All Funds,2023
balance,BEGINNING BALANCE,261694129.0,General Fund,2024
revenue,Property Tax,465886509.0,General Fund,2024
revenue,Delinquent Property Tax,7434802.0,General Fund,2024
revenue,Sales Tax,411560114.0,General Fund,2024
revenue,Other Tax,31263103.0,General Fund,2024
revenue,Licenses and Permits,10171841.0,General Fund,2024
revenue,CPS Energy,421003510.0,General Fund,2024
revenue,San Antonio Water System,33159790.0,General Fund,2024
revenue,Charges for Services,70623552.0,General Fund,2024
revenue,Fines and Forfeits,9192717.0,General Fund,2024
revenue,Miscellaneous,28147473.0,General Fund,2024
revenue,Subtotal Revenues,1495230093.0,General Fund,2024
revenue,Transfer from ARPA,4421018.0,General Fund,2024
revenue,Transfers from Other Funds,45224377.0,General Fund,2024
revenue,TOTAL REVENUES,1544875488.0,General Fund,2024
revenue,TOTAL AVAILABLE FUNDS,1806569617.0,General Fund,2024
appropriation,Administrative & Operational Excellence,114169325.0,General Fund,2024
appropriation,"Convention, Tourism & Culture",4505020.0,General Fund,2024
appropriation,Economic Development & Development Svcs,22905834.0,General Fund,2024
appropriation,Environmental 0,17022615.0,General Fund,2024
appropriation,Health and Human Services,158579467.0,General Fund,2024
appropriation,Neighborhood Services,99441698.0,General Fund,2024
appropriation,Parks and Recreation,67510987.0,General Fund,2024
appropriation,Public Safety,967039337.0,General Fund,2024
appropriation,Streets and Infrastructure,124842317.0,General Fund,2024
appropriation,Subtotal Appropriations,1558993985.0,General Fund,2024
appropriation,Transfers to other funds,43467712.0,General Fund,2024
appropriation,TOTAL APPROPRIATIONS,1602461697.0,General Fund,2024
appropriation,Financial Reserves (Incremental Amount),10477574.0,General Fund,2024
appropriation,Reserve for Two-Year Budget Plan,184329202.0,General Fund,2024
appropriation,Reserve for Metro Health SA Forward,5801144.0,General Fund,2024
appropriation,Reserve for Community Safety,3500000.0,General Fund,2024
appropriation,GROSS ENDING FUND BALANCE* $ 0,213618970.0,General Fund,2024
appropriation,1 The total FY,2024.0,General Fund,2024
balance,BEGINNING BALANCE,575770201.0,Total All Funds,2024
balance,Property Tax,764395997.0,Total All Funds,2024
balance,Delinquent Property Tax,12198000.0,Total All Funds,2024
balance,Sales Tax,540188115.0,Total All Funds,2024
balance,Other Tax,140973604.0,Total All Funds,2024
balance,Licenses and Permits,10171841.0,Total All Funds,2024
balance,CPS Energy,421003510.0,Total All Funds,2024
balance,San Antonio Water System,33159790.0,Total All Funds,2024
balance,Charges for Services,574923017.0,Total All Funds,2024
balance,Fines and Forfeits,10579977.0,Total All Funds,2024
balance,Miscellaneous,42176347.0,Total All Funds,2024
balance,Grants,380151198.0,Total All Funds,2024
balance,Subtotal Revenues,2949662641.0,Total All Funds,2024
balance,Transfer from ARPA,11408077.0,Total All Funds,2024
balance,Transfers from Other Funds,205588650.0,Total All Funds,2024
balance,TOTAL REVENUES,3166659367.0,Total All Funds,2024
balance,TOTAL AVAILABLE FUNDS,3742429568.0,Total All Funds,2024
balance,Administrative & Operational Excellence,117888195.0,Total All Funds,2024
balance,"Convention, Tourism & Culture",137802664.0,Total All Funds,2024
balance,Economic Development,230577938.0,Total All Funds,2024
balance,Environmental,160442789.0,Total All Funds,2024
balance,Health and Human Services,489406843.0,Total All Funds,2024
balance,Neighborhood Services,150703597.0,Total All Funds,2024
balance,Parks and Recreation,80492066.0,Total All Funds,2024
balance,Public Safety,1008976185.0,Total All Funds,2024
balance,Streets and Infrastructure,188447730.0,Total All Funds,2024
balance,Subtotal Appropriations,2941629830.0,Total All Funds,2024
balance,Transfers to other funds,286636829.0,Total All Funds,2024
balance,TOTAL APPROPRIATIONS,3228266659.0,Total All Funds,2024
balance,Financial Reserves (Incremental Amount),10477574.0,Total All Funds,2024
balance,Reserve for Two-Year Budget Plan,184329202.0,Total All Funds,2024
balance,Reserve for Metro Health SA Forward,5801144.0,Total All Funds,2024
balance,Reserve for Community Safety,3500000.0,Total All Funds,2024
balance,GROSS ENDING FUND BALANCE,310054989.0,Total All Funds,2024
balance,of which $4.4 million is transferred to the General Fund and $7,391559275.0,Total All Funds,2024
balance,BEGINNING BALANCE,214541201.0,General Fund,2025
revenue,Property Tax,481670438.0,General Fund,2025
revenue,Delinquent Property Tax,5498210.0,General Fund,2025
revenue,Sales Tax,415158541.0,General Fund,2025
revenue,Other Tax,28895719.0,General Fund,2025
revenue,Licenses and Permits,13064544.0,General Fund,2025
revenue,CPS Energy,454970000.0,General Fund,2025
revenue,San Antonio Water System,34605128.0,General Fund,2025
revenue,Charges for Services,75791817.0,General Fund,2025
revenue,Fines and Forfeits,10071575.0,General Fund,2025
revenue,Miscellaneous,36645040.0,General Fund,2025
revenue,Subtotal Revenues,1562731684.0,General Fund,2025
revenue,Transfer from ARPA,6933191.0,General Fund,2025
revenue,Transfers from Other Funds,47788942.0,General Fund,2025
revenue,TOTAL REVENUES,1617453817.0,General Fund,2025
revenue,TOTAL AVAILABLE FUNDS,1831995018.0,General Fund,2025
appropriation,Administrative & Operational Excellence,98893057.0,General Fund,2025
appropriation,"Convention, Tourism & Culture",24269405.0,General Fund,2025
appropriation,Economic Development & Development Svcs,23574047.0,General Fund,2025
appropriation,Environmental 0,21908970.0,General Fund,2025
appropriation,Health and Human Services,164556668.0,General Fund,2025
appropriation,Neighborhood Services,103787052.0,General Fund,2025
appropriation,Parks and Recreation,73667054.0,General Fund,2025
appropriation,Public Safety,1024979628.0,General Fund,2025
appropriation,Streets and Infrastructure,125425380.0,General Fund,2025
appropriation,Subtotal Appropriations,1639152291.0,General Fund,2025
appropriation,Transfers to other funds,29031815.0,General Fund,2025
appropriation,TOTAL APPROPRIATIONS,1668184106.0,General Fund,2025
appropriation,Financial Reserves (Incremental Amount),7699935.0,General Fund,2025
appropriation,Reserve for Two-Year Budget Plan,145800694.0,General Fund,2025
appropriation,Reserve for Community Safety,3080000.0,General Fund,2025
appropriation,Reserve for Fire CBA,7230283.0,General Fund,2025
appropriation,GROSS ENDING FUND BALANCE1 $ 0,180972292.0,General Fund,2025
balance,BEGINNING BALANCE,550648002.0,Total All Funds,2025
revenue,Property Tax,790293231.0,Total All Funds,2025
revenue,Delinquent Property Tax,9020568.0,Total All Funds,2025
revenue,Sales Tax,548003504.0,Total All Funds,2025
revenue,Other Tax,143534454.0,Total All Funds,2025
revenue,Licenses and Permits,13064544.0,Total All Funds,2025
revenue,CPS Energy,454970000.0,Total All Funds,2025
revenue,San Antonio Water System,34605128.0,Total All Funds,2025
revenue,Charges for Services,627870324.0,Total All Funds,2025
revenue,Fines and Forfeits,11706924.0,Total All Funds,2025
revenue,Miscellaneous,56526553.0,Total All Funds,2025
revenue,Grants,373060863.0,Total All Funds,2025
revenue,Subtotal Revenues,3077580836.0,Total All Funds,2025
revenue,Transfer from ARPA,6933191.0,Total All Funds,2025
revenue,Transfers from Other Funds,232969109.0,Total All Funds,2025
revenue,TOTAL REVENUES,3317483136.0,Total All Funds,2025
revenue,TOTAL AVAILABLE FUNDS,3868131138.0,Total All Funds,2025
appropriation,Administrative & Operational Excellence,104417028.0,Total All Funds,2025
appropriation,"Convention, Tourism & Culture",189807496.0,Total All Funds,2025
appropriation,Economic Development,244178418.0,Total All Funds,2025
appropriation,Environmental,174813650.0,Total All Funds,2025
appropriation,Health and Human Services,506095886.0,Total All Funds,2025
appropriation,Neighborhood Services,140342595.0,Total All Funds,2025
appropriation,Parks and Recreation,85365503.0,Total All Funds,2025
appropriation,Public Safety,1063172831.0,Total All Funds,2025
appropriation,Streets and Infrastructure,196065605.0,Total All Funds,2025
appropriation,Debt Service,392126157.0,Total All Funds,2025
appropriation,Subtotal Appropriations,3096385169.0,Total All Funds,2025
appropriation,Transfers to other funds,337083734.0,Total All Funds,2025
appropriation,TOTAL APPROPRIATIONS,3433468903.0,Total All Funds,2025
appropriation,Financial Reserves (Incremental Amount),7699935.0,Total All Funds,2025
appropriation,Reserve for Two-Year Budget Plan,145800694.0,Total All Funds,2025
appropriation,Reserve for Community Safety,3080000.0,Total All Funds,2025
appropriation,Reserve for Fire CBA,7230283.0,Total All Funds,2025
appropriation,GROSS ENDING FUND BALANCE,270851323.0,Total All Funds,2025
balance,BEGINNING BALANCE $ 2,15631021.0,General Fund,2026
revenue,Property Tax,472393971.0,General Fund,2026
revenue,Delinquent Property Tax,5498210.0,General Fund,2026
revenue,Sales Tax,419235221.0,General Fund,2026
revenue,Other Tax,26161452.0,General Fund,2026
revenue,Licenses and Permits,13247328.0,General Fund,2026
revenue,CPS Energy,504423337.0,General Fund,2026
revenue,San Antonio Water System,36292834.0,General Fund,2026
revenue,Charges for Services,73590731.0,General Fund,2026
revenue,Fines and Forfeits,12458028.0,General Fund,2026
revenue,Miscellaneous,28347948.0,General Fund,2026
revenue,Subtotal Revenues,1597035847.0,General Fund,2026
revenue,Transfers from Other Funds,55341274.0,General Fund,2026
revenue,TOTAL REVENUES,1652377121.0,General Fund,2026
revenue,TOTAL AVAILABLE FUNDS,1868008142.0,General Fund,2026
appropriation,Administrative & Operational Excellence,101669930.0,General Fund,2026
appropriation,"Convention, Tourism & Culture",19711782.0,General Fund,2026
appropriation,Economic Development & Development Svcs,21024202.0,General Fund,2026
appropriation,Environmental 0,11062827.0,General Fund,2026
appropriation,Health and Human Services,160217601.0,General Fund,2026
appropriation,Neighborhood Services,101537639.0,General Fund,2026
appropriation,Parks and Recreation,72904311.0,General Fund,2026
appropriation,Public Safety,1078883964.0,General Fund,2026
appropriation,Streets and Infrastructure,114827259.0,General Fund,2026
appropriation,Subtotal Appropriations,1670776688.0,General Fund,2026
appropriation,Transfers to other funds,25120159.0,General Fund,2026
appropriation,TOTAL APPROPRIATIONS,1695896847.0,General Fund,2026
appropriation,Financial Reserves (Incremental Amount),3492330.0,General Fund,2026
appropriation,Reserve for Two-Year Budget Plan,168618964.0,General Fund,2026
appropriation,GROSS ENDING FUND BALANCE1 $ 1,163193552.0,General Fund,2026
balance,BEGINNING BALANCE,542437788.0,Total All Funds,2026
revenue,Property Tax,775073012.0,Total All Funds,2026
revenue,Delinquent Property Tax,9497584.0,Total All Funds,2026
revenue,Sales Tax,522694751.0,Total All Funds,2026
revenue,Other Tax,136144227.0,Total All Funds,2026
revenue,Licenses and Permits,13247328.0,Total All Funds,2026
revenue,CPS Energy,504423337.0,Total All Funds,2026
revenue,San Antonio Water System,36292834.0,Total All Funds,2026
revenue,Charges for Services,647926612.0,Total All Funds,2026
revenue,Fines and Forfeits,14150806.0,Total All Funds,2026
revenue,Miscellaneous,50581207.0,Total All Funds,2026
revenue,Grants,175249944.0,Total All Funds,2026
revenue,Subtotal Revenues,2900389425.0,Total All Funds,2026
revenue,Transfers from Other Funds,216950815.0,Total All Funds,2026
revenue,TOTAL REVENUES,3117340240.0,Total All Funds,2026
revenue,TOTAL AVAILABLE FUNDS,3659778028.0,Total All Funds,2026
appropriation,Administrative & Operational Excellence,106928722.0,Total All Funds,2026
appropriation,"Convention, Tourism & Culture",168607444.0,Total All Funds,2026
appropriation,Economic Development,224326412.0,Total All Funds,2026
appropriation,Environmental,166982394.0,Total All Funds,2026
appropriation,Health and Human Services,323892615.0,Total All Funds,2026
appropriation,Neighborhood Services,127827265.0,Total All Funds,2026
appropriation,Parks and Recreation,89083364.0,Total All Funds,2026
appropriation,Public Safety,1133454099.0,Total All Funds,2026
appropriation,Streets and Infrastructure,177792778.0,Total All Funds,2026
appropriation,Debt Service,390347637.0,Total All Funds,2026
appropriation,Subtotal Appropriations,2909242730.0,Total All Funds,2026
appropriation,Transfers to other funds,324594005.0,Total All Funds,2026
appropriation,TOTAL APPROPRIATIONS,3233836735.0,Total All Funds,2026
appropriation,Financial Reserves (Incremental Amount),3492330.0,Total All Funds,2026
appropriation,Reserve for Two-Year Budget Plan,168618964.0,Total All Funds,2026
appropriation,GROSS ENDING FUND BALANCE,253829999.0,Total All Funds,2026
